"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00244",950.496587762495,-0.802516615393811,0.0895334481616315,-8.96331630102144,3.15057215977929e-19,1.77089032298495e-18
"SAOUHSC_00246",209.567144966756,0.567382580534355,0.148644705613944,3.81703861022771,0.000135063040795065,0.000285534342928604
"SAOUHSC_00247",362.138545941218,0.127438105937586,0.120623744262022,1.05649270562156,0.290743171670447,0.354026079672639
"SAOUHSC_00248",1546.39882990448,2.29585820809475,0.108081532965271,21.2419101127337,3.91636971911662e-100,1.36612190790362e-98
"SAOUHSC_00249",1781.51150137445,0.0351778552828318,0.073449137877175,0.478941704416706,0.631980101066064,0.689353442554576
"SAOUHSC_00250",1777.8781216423,-0.0382729405800026,0.0753318482149932,-0.508057899638592,0.611412738949141,0.672044030021948
"SAOUHSC_00251",1021.73983589422,-0.033095936769373,0.0857530896170111,-0.385944540507933,0.6995377427605,0.751155964611999
"SAOUHSC_00253",10524.5450264126,0.424459030053964,0.0654248639693627,6.48773271049872,8.71376888791083e-11,3.06208293364807e-10
"SAOUHSC_00255",98.3132233531822,0.62497141265809,0.205792797112237,3.03689643868943,0.00239027562121437,0.00446084482574388
"SAOUHSC_00256",3071.48097278235,-0.0675347354234415,0.0647170682092835,-1.04353823948029,0.296699079994101,0.361092979859419
"SAOUHSC_00257",22687.8594986651,-1.797124165856,0.0846605580482131,-21.227407511684,5.33240784808177e-100,1.83311179936956e-98
"SAOUHSC_00258",77.1782556255903,0.500643972127161,0.229381886348102,2.18257849430797,0.0290668649420893,0.0457205594447187
"SAOUHSC_00259",4.34228293832256,0.808226782490877,0.955834585310193,0.845571812227936,0.397791655861171,0.464808772267338
"SAOUHSC_00260",3.62892196877676,-0.813526247795422,1.12753158523065,-0.721510828123725,0.470595280989497,0.538471783167915
"SAOUHSC_00261",29.5840085422821,0.293872423158047,0.397417236087475,0.739455656355486,0.459630356903038,0.527962811900245
"SAOUHSC_00262",263.992665490669,0.397953668532006,0.132005997886776,3.01466353728365,0.00257264475711341,0.00476743231552579
"SAOUHSC_00269",73.6027521084075,-1.19853019187135,0.232847147906897,-5.14728311102431,2.64286301435124e-07,7.26404527235357e-07
"SAOUHSC_00272",2557.24143817082,-0.306730652872091,0.102284373303295,-2.99880268086083,0.00271042781754652,0.00500321773013257
"SAOUHSC_00274",15.8330686724805,-1.26006600871131,0.499068276404281,-2.52483691768571,0.0115751990864652,0.0195697592538101
"SAOUHSC_00275",12.594993477835,-1.92527530331276,0.702398314384153,-2.74100216911937,0.00612521031323082,0.0108183163536735
"SAOUHSC_00278",3.91362995264489,0.201192812540804,0.946173118359325,0.212638478769799,0.83160895600618,0.863513898900121
"SAOUHSC_00279",894.297236901472,0.00707850620277025,0.108992603921967,0.0649448306404173,0.948217926223708,0.958318244994732
"SAOUHSC_00280",8580.14267728896,-0.997934039466743,0.10469710958561,-9.53162932020335,1.54833765537454e-21,9.6395194712557e-21
"SAOUHSC_00281",9966.09122717916,-0.316646070202385,0.0673421805600172,-4.70204658609445,2.57566713003671e-06,6.47190935640581e-06
"SAOUHSC_00282",2161.15829061851,0.315445501901418,0.0696362786767509,4.52990176809568,5.9011116876692e-06,1.43563455622065e-05
"SAOUHSC_00284",3859.27414810348,0.241404030122073,0.0610821953430657,3.95211777779493,7.74625962653265e-05,0.000167800254193018
"SAOUHSC_00285",1172.6907587102,0.0174081309155865,0.0854108185829621,0.203816462649605,0.838496927539379,0.868901141163567
"SAOUHSC_00287",2278.86505790733,-0.162532286195656,0.070653137297371,-2.30042560617763,0.0214241195174227,0.0344062366251365
"SAOUHSC_00289",2.22391567503192,0.358741891804327,1.37057901642764,0.261744771738424,0.793518220616,0.833211695131099
"SAOUHSC_00290",1630.53207840371,-0.166037744346171,0.0729488705992025,-2.2760838239487,0.0228409930565215,0.0365332673837282
"SAOUHSC_00291",10.4944852236433,0.0549271854451174,0.606156646880841,0.0906154963865554,0.927798118256121,0.941693254815369
"SAOUHSC_00292",20.7632182386059,-0.12615248557687,0.441028579237356,-0.286041520925963,0.774846320410695,0.817041966523362
"SAOUHSC_00293",57.8120629184826,0.21121646501642,0.264524656962849,0.798475527542541,0.424594589228379,0.49297032092497
"SAOUHSC_00294",314.820343448137,-1.73183435695959,0.175866534333017,-9.84743551993941,7.0315175204735e-23,4.60739214324949e-22
"SAOUHSC_00295",310.280439093381,-2.72124923062457,0.164334669938069,-16.5591912628668,1.37428851398453e-61,2.62888093158976e-60
"SAOUHSC_00296",105.361930773514,-1.92921961319875,0.246267370073128,-7.83384178190508,4.73184168823848e-15,2.13382670808017e-14
"SAOUHSC_00297",1341.3701534966,0.0769209828576612,0.0799559261728369,0.962042296794672,0.336028357744978,0.402758597559923
"SAOUHSC_00298",1327.00435040502,0.547843651426873,0.0810165048963841,6.7621239910008,1.35983246296637e-11,5.02417850803150e-11
"SAOUHSC_00299",105.416257410699,0.102815868279709,0.190153590993292,0.540699061966893,0.588715025153068,0.652843403302046
"SAOUHSC_00300",361.326668359947,0.0596835532662168,0.115406525752252,0.517159258345077,0.605044989923309,0.666899031644093
"SAOUHSC_00301",337.848051251177,1.13608761000268,0.12200426257281,9.31186817611958,1.25603348523025e-20,7.60028425246469e-20
"SAOUHSC_00302",663.817115692717,1.20486384977497,0.111281917661747,10.8271305445803,2.56053800948455e-27,1.94044605702791e-26
"SAOUHSC_00304",234.820615550268,1.11708913061095,0.154727726045783,7.21970883408713,5.2099003433829e-13,2.09455654483123e-12
"SAOUHSC_00305",60.8296059934572,0.620403926623821,0.260369652293916,2.38278125410515,0.0171824009406071,0.0280886664583874
"SAOUHSC_00306",261.321441933349,0.744042577552366,0.133545617450328,5.57144885588708,2.52629529846734e-08,7.51866053696929e-08
"SAOUHSC_00307",304.444430860793,0.766324757809921,0.123464653143861,6.20683522203718,5.40622304514962e-10,1.7935050437895e-09
"SAOUHSC_00308",308.594600082181,0.755623900420223,0.124317534784759,6.078176354836,1.21557027213159e-09,3.9497708020495e-09
"SAOUHSC_00309",574.472431038079,0.568916679993652,0.129172387303225,4.40432117011318,1.06115634774412e-05,2.5373617508559e-05
"SAOUHSC_00310",243.332482631496,-0.411519365040849,0.154042475024416,-2.67146684689157,0.00755205322157601,0.0131138142324878
"SAOUHSC_00311",35.2413900368918,-0.388381405933783,0.33223536923704,-1.16899476062913,0.242405742310568,0.30294331968423
"SAOUHSC_00312",51.2318922051194,-0.537533926593737,0.302306458913316,-1.77810930181902,0.0753859050243767,0.107980293911728
"SAOUHSC_00313",308.498021139387,-0.277849306275342,0.120180903476021,-2.31192559083048,0.0207817841941757,0.033488038117245
"SAOUHSC_00314",218.510624343968,-0.689076244718002,0.159871847338936,-4.31017878499351,1.63122612597531e-05,3.80085301651614e-05
"SAOUHSC_00315",176.170917335629,-0.773084440739632,0.153194717102981,-5.04641710470959,4.50172073640667e-07,1.21204104276466e-06
"SAOUHSC_00316",13.1044376710082,-1.17209524038126,0.582204784998147,-2.01320097426714,0.044093490796707,0.0663219785477419
"SAOUHSC_00317",1702.22866194653,-1.71125879749361,0.0951436062212736,-17.9860619694588,2.50542395230762e-72,6.19048501549342e-71
"SAOUHSC_00318",22.0114609393561,-0.0227418025287656,0.421549445263615,-0.053948125858745,0.956976493575469,0.965935422451494
"SAOUHSC_00319",46.7977602719805,-0.758650418956535,0.305707947618041,-2.48161824011331,0.013078731104479,0.0218932605362202
"SAOUHSC_00320",32.161650497698,-0.41131783945238,0.342694536165584,-1.20024627195584,0.230043709416706,0.289323265501817
"SAOUHSC_00322",1687.72335090108,-0.129097471347075,0.0850451201775638,-1.51798799363837,0.129017425423951,0.175274532133798
"SAOUHSC_00324",127.940634164823,0.0879806020360135,0.196814046565422,0.447023998395197,0.654857732551568,0.710892306470767
"SAOUHSC_00325",35.2928666860379,-0.642652749938173,0.335766709623125,-1.91398590604621,0.0556219566214286,0.0820493041704158
"SAOUHSC_00326",183.116974281282,-0.22338264458769,0.150645480974986,-1.48283667815288,0.138117808539144,0.186250961827657
"SAOUHSC_00327",284.299491241604,0.283243737238591,0.127679985406458,2.21838791989919,0.0265283940744946,0.0420343024346702
"SAOUHSC_00328",897.441453970591,0.935543807508745,0.118353952705023,7.90462664006185,2.68737846674367e-15,1.22585802367615e-14
"SAOUHSC_00329",583.09219760034,1.24256449439668,0.111163517701587,11.177808332157,5.23672818059154e-29,4.25394494669971e-28
"SAOUHSC_00330",209.755293155626,1.78187296590415,0.165395268100107,10.7734216726542,4.59596683387998e-27,3.42818658174947e-26
"SAOUHSC_00332",122.082175543543,-0.266634616610986,0.186649506183329,-1.42853105836291,0.153139061653872,0.203956122539576
"SAOUHSC_00333",658.669199094503,-0.152222244651102,0.0893751353212387,-1.70318337537587,0.0885337568107329,0.12485259878422
"SAOUHSC_00334",1008.77651946426,-0.180747317133903,0.0859712212628335,-2.10241653519516,0.0355168039868868,0.0546341498423446
"SAOUHSC_00335",2582.75294440757,0.189337149039325,0.0698048960967191,2.71237634645264,0.00668027000445282,0.0117374818152312
"SAOUHSC_00336",2221.26735909499,-0.432434286299311,0.0792738340097349,-5.45494350943348,4.89884168568777e-08,1.41020054350138e-07
"SAOUHSC_00337",844.479342595373,-0.632089268109665,0.0952549387054446,-6.63576373781799,3.22826579369431e-11,1.16240190224937e-10
"SAOUHSC_00338",1244.61987615423,-0.707272470077023,0.0734507199960541,-9.6292108520518,6.01899344607236e-22,3.78701656606993e-21
"SAOUHSC_00339",377.956594064089,-0.429839449847039,0.118318245072955,-3.63290927432198,0.000280243574264516,0.000573544226191054
"SAOUHSC_00340",120.346844906052,-0.523965827431515,0.18543423577633,-2.82561537376259,0.00471898902209882,0.00844788072484407
"SAOUHSC_00341",106.27547158825,-0.513934243433415,0.193836528732189,-2.6513797311315,0.0080163657296617,0.0138693067182768
"SAOUHSC_00342",96.9009464081531,0.331083792231257,0.203404650800833,1.62771003970526,0.103586383279263,0.144703710917793
"SAOUHSC_00344",134.160343070968,-0.150714483347857,0.195915242384529,-0.76928411242268,0.441724666714286,0.509120947252812
