"locus_tag","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","product"
"SAOUHSC_00113",2517.57769876262,-1.8710221741984,0.070367460423336,-26.589309361773,9.02391502128136e-156,5.35118160761984e-154,NA,"bifunctional acetaldehyde-CoA/alcohol dehydrogenase"
"SAOUHSC_02923",3613.32156652668,-2.04500443084075,0.0774922190856289,-26.3898034534411,1.79401517797032e-153,1.03790341515747e-151,NA,"hypothetical protein"
"SAOUHSC_01018",4233.40037713265,-1.67093872100677,0.0657963058436139,-25.3956312528897,2.81827995360226e-142,1.5916571547487e-140,NA,"phosphoribosylamine--glycine ligase"
"SAOUHSC_02013",4258.60127331262,1.66553280113879,0.0661499182888528,25.1781535672653,6.95085849659371e-140,3.83428752416751e-138,NA,"hypothetical protein"
"SAOUHSC_00975",721.719826479614,2.98005665461309,0.119646284681689,24.9072226734105,6.21355011905076e-137,3.349668382361e-135,NA,"hypothetical protein"
"SAOUHSC_01884",1236.0596465438,-3.06894137881791,0.123287590831334,-24.8925407506456,8.96114762490245e-137,4.72352048139302e-135,NA,"hypothetical protein"
"SAOUHSC_00893",2148.26949501521,2.02854654916193,0.0819041619295223,24.7673195277607,2.01776259286553e-135,1.04046366745153e-133,NA,"FMN oxidoreductase"
"SAOUHSC_02937",9933.53672599439,2.93514242933269,0.118676099137474,24.7323804090715,4.7976889545755e-135,2.4213017447347e-133,NA,"choline transporter"
"SAOUHSC_02589",2974.55579367211,-1.59336260248469,0.0645632580744891,-24.6790922578035,1.79359531400564e-134,8.86335017671122e-133,NA,"hypothetical protein"
"SAOUHSC_02681",42059.9661251205,-1.71569557875383,0.0698859055769426,-24.5499513040565,4.33018062451444e-133,2.0961609063976e-131,NA,"nitrate reductase subunit alpha"
"SAOUHSC_00554",4296.31010476688,2.01211845057451,0.0822434174421602,24.4654042007628,3.45048829817423e-132,1.63691164865386e-130,NA,"6-phospho 3-hexuloisomerase"
"SAOUHSC_00437",2176.91576610952,-2.53293415511392,0.104495520934561,-24.2396433116031,8.50311512855305e-130,3.95478217351526e-128,NA,"hypothetical protein"
"SAOUHSC_01918",651.65943614696,-3.22766123978102,0.134788182006377,-23.9461738539386,1.01284611281407e-126,4.62013649922112e-125,NA,"hypothetical protein"
"SAOUHSC_00019",1662.53555636754,1.86659006105621,0.0787949555021644,23.6892076296044,4.65847180155046e-124,2.08488587042975e-122,NA,"adenylosuccinate synthetase"
"SAOUHSC_02576",1805.89134637276,1.95280186910608,0.0837804187383807,23.3085713644384,3.62921682065063e-120,1.59416709233024e-118,NA,"secretory antigen SsaA"
"SAOUHSC_00144",6860.55662279924,-1.39085489207738,0.0600137960802547,-23.1755859972169,8.02842944814545e-119,3.46244266381837e-117,NA,"hypothetical protein"
"SAOUHSC_02848",4944.54646486071,-2.24828829009487,0.0980659162545945,-22.9262966784296,2.54050173507568e-116,1.0760839492142e-114,NA,"PTS system glucose-specific transporter subunit IIABC"
"SAOUHSC_02986",915.857182477692,-2.14760049627217,0.0942084780836269,-22.7962550712876,4.9946148528549e-115,2.07846077736348e-113,NA,"accessory Sec system protein Asp3"
"SAOUHSC_00170",575.813417248045,-2.56276021172896,0.112598793054376,-22.7601037472166,1.13975986914212e-114,4.66122484414676e-113,NA,"RGD-containing lipoprotein"
"SAOUHSC_01602",809.961001653889,-2.58777059427042,0.115223104748008,-22.4587820292627,1.05027737633482e-111,4.22247107909525e-110,NA,"maltose operon transcriptional repressor"
"SAOUHSC_00894",1993.92126992612,-1.68308951527372,0.0750853391492745,-22.4156877273689,2.76733392785465e-111,1.0940193461452e-109,"rocD","ornithine--oxo-acid transaminase"
"SAOUHSC_00151",7728.16797449631,-1.24310920545519,0.0555393278160187,-22.3825036120918,5.82788522683987e-111,2.26618750132199e-109,NA,"branched-chain amino acid transport system II carrier protein"
"SAOUHSC_02744",1464.44684961423,-1.68724526939579,0.0762871790932017,-22.1170226694901,2.16770992305431e-108,8.29323860884651e-107,NA,"amino acid ABC transporter ATP-binding protein"
"SAOUHSC_00796",83047.9648550839,-1.1196012426486,0.0508410475593349,-22.0216005844875,1.78834764324227e-107,6.73327080915979e-106,"pgk","phosphoglycerate kinase"
"SAOUHSC_00842",1292.36630058926,-1.87549817605341,0.0853016798357144,-21.9866499659268,3.86488431871684e-107,1.43242275062443e-105,NA,"ABC transporter ATP-binding protein"
"SAOUHSC_00223",2249.60264110785,1.46848369147216,0.0670388702560301,21.9049588076862,2.32991537163569e-106,8.5023988638767e-105,NA,"teichoic acid biosynthesis protein F"
"SAOUHSC_02671",19222.4640434683,-2.04123851991913,0.0933322779128371,-21.8706600285214,4.94371780194991e-106,1.77674221609473e-104,NA,"hypothetical protein"
"SAOUHSC_00767",2748.62412319576,-1.99316109971332,0.0919781118393065,-21.669950163747,3.9418235305464e-104,1.39552319618747e-102,NA,"hypothetical protein"
"SAOUHSC_00248",1546.39882990448,2.29585820809475,0.108081532965271,21.2419101127337,3.91636971911662e-100,1.36612190790362e-98,NA,"peptidoglycan hydrolase"
"SAOUHSC_00257",22687.8594986651,-1.797124165856,0.0846605580482131,-21.227407511684,5.33240784808177e-100,1.83311179936956e-98,NA,"hypothetical protein"
"SAOUHSC_00427",4383.97475601438,-1.29941665391942,0.0615987540899363,-21.094852860534,8.8680988591395e-99,3.0050186419827e-97,NA,"autolysin"
"SAOUHSC_02823",3998.03633401089,1.32410461145572,0.0632359049708593,20.9391264672483,2.35741730398019e-97,7.875765978931e-96,NA,"hypothetical protein"
"SAOUHSC_02571",3963.92127207108,1.54728341293118,0.0740336403251476,20.8997343118032,5.38438255434543e-97,1.77385491929269e-95,NA,"secretory antigen"
"SAOUHSC_00619",990.498679078619,1.84611799508317,0.0884611369230729,20.8692546726884,1.01910238807001e-96,3.31138474589323e-95,NA,"hypothetical protein"
"SAOUHSC_01017",4290.14658815329,-1.82628510920648,0.0878824450629534,-20.7810002088386,6.43049329292936e-96,2.0612337960579e-94,"purH","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase"
"SAOUHSC_02680",6337.43817195351,-2.25250142675319,0.108861173404506,-20.6915042003391,4.13122529681873e-95,1.30656885387387e-93,NA,"nitrate reductase subunit beta"
"SAOUHSC_02684",33601.8726132334,-1.21937054158478,0.0597734150338857,-20.399880798069,1.67623662193537e-92,5.23162272004039e-91,NA,"assimilatory nitrite reductase [NAD(P)H] large subunit"
"SAOUHSC_02373",3218.51182190092,-1.2417310727046,0.0609767597559379,-20.3640055272645,3.48863548572013e-92,1.07468095741924e-90,NA,"hypothetical protein"
"SAOUHSC_00556",8830.0774680592,1.26137082680479,0.0622419521688099,20.2656051562098,2.58759937266915e-91,7.86895604098874e-90,NA,"proline/betaine transporter"
"SAOUHSC_02872",257.050405673841,-3.7732374444755,0.187883710288483,-20.0828344228562,1.04272034998623e-89,3.1308008483131e-88,NA,"hypothetical protein"
"SAOUHSC_00222",2943.13251705644,-1.26520100651801,0.0638085529071266,-19.8280786646191,1.7042640219868e-87,5.05314282519086e-86,NA,"teichoic acid biosynthesis protein TagB"
"SAOUHSC_00233",15067.9368543589,-2.07390729707472,0.105871090122636,-19.5889859514284,1.91975876713377e-85,5.62181209338433e-84,NA,"antiholin-like protein LrgB"
"SAOUHSC_01396",8078.57052271882,-1.09991501585828,0.0563805651133001,-19.5087618162028,9.24953810018572e-85,2.67559809434641e-83,NA,"4-hydroxy-tetrahydrodipicolinate synthase"
"SAOUHSC_00880",1740.30546599346,1.43484679282205,0.0737102041241605,19.4660537149664,2.1306751218607e-84,6.08911010729347e-83,NA,"hypothetical protein"
"SAOUHSC_02232",1412.62695834439,-1.51059749190898,0.0783030374911138,-19.2916844647363,6.30840795630767e-83,1.78137424670974e-81,NA,"phi PVL orf 33-like protein"
"SAOUHSC_02547",5310.60338958141,-1.15837338020005,0.0601619264056721,-19.2542601177551,1.30018704792889e-82,3.62828667963214e-81,NA,"molybdenum ABC transporter permease"
"SAOUHSC_02521",609.904691264453,1.9565146700152,0.101874859816389,19.2050784024779,3.35616919409497e-82,9.25678293999216e-81,NA,"hypothetical protein"
"SAOUHSC_01847",286.007911957684,-3.12585234320088,0.163106720026669,-19.1644608063346,7.33124429466401e-82,1.99881740999345e-80,NA,"hypothetical protein"
"SAOUHSC_02887",27317.428773502,1.80792820598625,0.0943760216140466,19.1566477911076,8.51860445943558e-82,2.2961511111115e-80,NA,"immunodominant antigen A"
"SAOUHSC_02468",12780.5476666118,-1.24529776871123,0.0651147299885637,-19.124670699394,1.57364045127205e-81,4.1940170229408e-80,NA,"acetolactate synthase"
"SAOUHSC_00086",5481.70507511321,-1.63264275627984,0.0871343550334178,-18.737072830271,2.46838562748728e-78,6.50556745377759e-77,NA,"acetoin reductase"
"SAOUHSC_00951",2927.01472109556,-1.36521364603323,0.073621025682083,-18.543800950677,9.1518971513292e-77,2.38552747724757e-75,NA,"hypothetical protein"
"SAOUHSC_00025",1784.24992236307,-1.34884736880426,0.072758192037413,-18.5387697389549,1.00494320913038e-76,2.59100575223614e-75,NA,"hypothetical protein"
"SAOUHSC_02989",1335.08500220682,-2.19764566106626,0.119263543798022,-18.4268016116314,8.00796730166315e-76,2.04246219780054e-74,"secY","accessory Sec system protein translocase subunit SecY2"
"SAOUHSC_00949",1055.69892007755,-1.66134377408888,0.0910657047119051,-18.2433527456323,2.33675370739566e-74,5.89657424887502e-73,NA,"hypothetical protein"
